"Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status"
"1,1,0,1,1,6000,2250,265,360,1,1,0"
"1,1,0,1,1,2958,2900,131,360,1,1,1"
"1,1,2,1,1,6250,1695,210,360,1,1,1"
"1,1,0,1,1,2083,3150,128,360,1,1,1"
"1,2,0,1,1,4166,0,98,360,0,1,0"
"1,1,0,1,1,19730,5266,570,360,1,3,0"
"1,1,3,2,2,3333,2166,130,360,1,1,1"
"1,1,2,2,1,3365,1917,112,360,0,3,0"
"2,1,0,1,1,3625,0,108,360,1,1,1"
"1,2,0,1,1,9508,0,187,360,1,3,1"
"1,1,1,2,1,5285,1430,161,360,0,1,1"
"1,1,2,2,1,6125,1625,187,480,1,1,0"
"1,1,0,1,1,2920,16,87,360,1,3,1"
"1,1,0,1,1,3707,3166,182,360,1,3,1"
"1,1,0,1,1,6256,0,160,360,1,2,1"
"1,1,2,1,2,17500,0,400,360,1,3,1"
"1,1,1,1,1,12841,10968,349,360,1,1,0"
"1,1,0,1,1,4750,2333,130,360,1,2,1"
"1,1,2,1,2,4583,2083,160,360,1,1,1"
"2,2,1,2,1,4606,0,81,360,1,3,0"
"2,2,3,1,1,416,41667,350,180,1,2,0"
"1,2,0,1,2,7167,0,128,360,1,2,1"
"1,1,1,1,1,3988,0,50,240,1,2,1"
"1,2,0,1,1,4095,3447,151,360,1,3,1"
"1,2,0,1,2,11000,0,83,360,1,2,0"
"1,1,0,1,2,9963,0,180,360,1,3,1"
"1,2,0,2,1,2550,2042,126,360,1,3,1"
"2,1,2,2,1,210,2917,98,360,1,1,1"
"2,1,0,1,1,3166,0,36,360,1,1,1"
"1,1,2,1,1,4400,0,127,360,0,1,0"
"1,2,0,1,1,3750,0,113,480,1,2,0"
"1,1,2,2,1,3273,1820,81,360,1,2,1"
"1,2,0,1,1,4000,2500,140,360,1,3,1"
"1,1,3,2,2,7100,0,125,60,1,2,1"
"1,2,0,1,1,4950,0,125,360,1,2,1"
"1,1,3,1,1,3430,1250,128,360,0,1,0"
"2,2,0,1,1,3418,0,135,360,1,3,0"
"1,2,0,1,1,8566,0,210,360,1,2,1"
"1,2,0,1,1,5815,3666,311,360,1,3,0"
"1,1,1,1,1,2214,1398,85,360,1,2,1"
"1,1,2,1,1,3276,484,135,360,1,1,1"
"1,1,0,1,1,3246,1417,138,360,1,1,1"
"1,1,0,1,1,3500,1667,114,360,1,1,1"
"1,2,0,1,1,5849,0,128,360,1,2,1"
"1,1,2,2,1,3987,1411,157,360,1,3,1"
"1,1,3,1,1,5516,11300,495,360,0,1,0"
"1,1,2,1,1,8333,3167,165,360,1,3,1"
"2,2,0,1,1,1500,1800,103,360,0,1,0"
"1,2,0,1,1,6283,4416,209,360,0,3,0"
"1,1,3,2,1,4931,0,128,360,1,1,0"
"1,1,0,2,1,2600,1911,116,360,0,1,0"
"1,1,0,1,1,4301,0,118,360,1,2,1"
"2,1,0,1,1,3167,2283,154,360,1,1,1"
"1,1,0,1,1,5695,4167,175,360,1,1,1"
"1,1,1,1,1,1880,0,61,360,1,3,0"
"1,2,1,1,1,37719,0,152,360,1,1,1"
"1,1,0,2,1,4887,0,133,360,1,3,0"
"1,1,0,1,1,3333,2500,128,360,1,1,1"
"1,1,2,2,1,4652,0,110,360,1,3,1"
"1,1,2,1,1,11757,0,187,180,1,2,1"
"1,1,0,1,1,3075,2416,139,360,1,3,1"
"2,1,0,1,2,5500,0,105,360,0,3,0"
"1,1,0,2,1,2454,2333,181,360,0,2,0"
"1,1,0,2,1,2894,2792,155,360,1,3,1"
"1,2,0,1,1,2060,2209,134,360,1,1,1"
"1,1,0,2,1,2600,1700,107,360,1,3,1"
"1,2,0,2,1,6783,0,130,360,1,1,1"
"2,1,0,2,1,2149,3237,178,360,0,1,0"
"1,1,0,1,1,2439,3333,129,360,1,3,1"
"2,1,1,1,2,11500,0,286,360,0,2,0"
"1,1,0,1,1,1809,1868,90,360,1,2,1"
"1,1,1,1,1,5649,0,44,360,1,2,1"
"1,2,0,1,1,4133,0,122,360,1,1,1"
"1,2,0,1,1,2833,1857,126,360,1,3,1"
"1,1,2,1,1,3800,3600,216,360,0,2,0"
"1,2,1,2,2,4053,2426,158,360,0,2,0"
"1,1,1,1,1,3125,2583,170,360,1,1,0"
"2,2,0,1,2,4583,0,133,360,0,1,0"
"2,1,1,1,1,3326,913,105,84,1,1,1"
"1,1,2,2,1,1958,1456,60,300,1,2,1"
"1,1,0,2,1,3406,4417,123,360,1,1,1"
"1,1,2,2,1,1993,1625,113,180,1,1,1"
"2,2,0,1,1,2917,0,84,360,1,1,1"
"1,1,1,1,1,8300,0,152,300,0,1,0"
"1,1,2,1,1,16666,0,275,360,1,2,1"
"1,2,0,1,2,5166,0,128,360,1,1,1"
"1,1,1,1,1,18333,0,500,360,1,2,0"
"2,2,0,1,1,4300,0,136,360,0,1,0"
"1,2,0,1,1,2526,1783,145,360,1,3,1"
"1,1,2,1,2,1600,20000,239,360,1,2,0"
"2,2,0,1,2,2600,1717,99,300,1,1,0"
"1,2,2,1,1,3617,0,107,360,1,1,1"
"2,1,1,1,1,4608,2845,140,180,1,1,1"
"2,2,0,1,1,5000,2541,151,480,1,3,0"
"1,1,0,1,1,4860,830,125,360,1,1,1"
"1,1,0,2,1,4300,2014,194,360,1,3,1"
"1,2,3,2,1,4707,1993,148,360,1,1,1"
"1,1,3,2,1,3095,0,113,360,1,3,1"
"1,1,0,1,2,39147,4750,120,360,1,1,1"
"1,1,1,2,1,6608,0,137,180,1,2,1"
"1,1,1,1,1,2014,2925,113,360,1,2,0"
"1,1,0,1,1,3775,0,110,360,1,1,1"
"1,1,0,1,1,11146,0,136,360,1,2,1"
"1,1,0,1,1,14583,0,436,360,1,1,1"
"1,2,0,1,1,3167,0,74,360,1,2,0"
"1,1,0,1,1,3000,3416,56,180,1,1,1"
"1,1,3,1,2,5677,1424,100,360,1,3,1"
"1,2,0,1,1,3182,2917,161,360,1,2,1"
"1,1,1,1,2,3450,2079,162,360,1,1,1"
"1,1,0,2,1,2400,3800,128,180,1,2,0"
"1,2,0,1,1,5050,0,118,360,1,1,1"
"1,1,1,2,1,3500,1083,135,360,1,2,1"
"1,2,0,1,1,5417,0,168,360,1,2,1"
"1,1,0,1,1,2625,6250,187,360,1,3,1"
"1,1,3,1,1,3036,2504,158,360,0,1,0"
"1,2,1,1,1,11250,0,196,360,1,1,0"
"1,1,0,1,1,2600,3500,115,360,1,2,1"
"1,1,3,2,1,3522,0,81,180,1,3,0"
"1,1,0,1,1,16692,0,110,360,1,1,1"
"1,1,0,1,1,2132,1591,96,360,1,1,1"
"2,2,1,1,1,3541,0,112,360,1,1,1"
"1,1,0,2,1,3523,3230,152,360,0,3,0"
"1,1,1,1,1,3400,2500,173,360,1,1,1"
"1,2,0,1,1,2833,0,71,360,1,2,1"
"1,1,0,1,1,2400,2167,115,360,1,1,1"
"2,2,0,1,1,4000,2275,144,360,1,1,1"
"1,1,2,1,1,3900,0,90,360,1,1,1"
"1,1,0,1,2,9560,0,191,360,1,1,1"
"1,1,0,1,1,2333,2417,136,360,1,2,1"
"1,2,0,1,1,3676,4301,172,360,1,3,1"
"1,1,0,1,1,2221,0,60,360,0,2,0"
"1,1,0,1,1,2425,2340,143,360,1,1,1"
"1,2,0,2,1,2000,0,128,360,1,2,0"
"1,2,0,1,2,6050,4333,120,180,1,2,0"
"2,2,0,1,2,15759,0,55,360,1,1,1"
"1,2,0,1,1,3254,0,50,360,1,2,1"
"1,1,3,1,1,23803,0,370,360,1,3,1"
"2,1,0,1,1,2423,505,130,360,1,1,1"
"2,2,1,1,2,7451,0,128,360,1,1,1"
"1,1,0,1,1,5708,5625,187,360,1,1,1"
"1,1,0,1,1,3366,2200,135,360,1,3,0"
"1,2,0,1,1,2935,0,98,360,1,1,1"
"1,2,0,1,1,2971,2791,144,360,1,1,1"
"2,2,0,1,1,3510,0,76,360,0,2,0"
"2,2,1,1,1,4723,0,81,360,1,1,0"
"2,2,3,1,1,3083,0,255,360,1,3,1"
"1,1,0,1,1,1820,1719,100,360,1,2,1"
"2,2,0,2,1,2165,0,70,360,1,1,1"
"1,2,0,2,1,4885,0,48,360,1,3,1"
"2,1,0,1,1,4333,2451,110,360,1,2,0"
"1,1,3,1,1,6417,0,157,180,1,3,1"
"1,2,0,1,1,5941,4232,296,360,1,1,1"
"1,2,0,2,1,3620,0,25,120,1,1,1"
"1,1,1,1,1,6400,7250,180,360,0,2,0"
"2,2,0,1,1,2378,0,46,360,1,3,0"
"2,2,3,2,1,1830,0,128,360,0,2,0"
"1,1,3,1,1,4342,189,124,360,1,1,1"
"1,1,2,1,2,5417,4196,267,360,1,2,1"
"2,2,0,1,1,3410,0,88,360,1,2,1"
"2,2,0,1,1,5000,0,132,360,1,3,1"
"1,1,1,2,1,2492,2375,128,360,1,3,1"
"1,2,0,1,1,2500,0,55,360,1,1,1"
"1,2,1,2,1,3596,0,100,240,1,2,1"
"2,1,0,1,1,2645,3440,120,360,0,2,0"
"1,1,0,1,1,3859,3300,142,180,1,3,1"
"1,1,1,2,1,4050,5302,138,360,1,3,0"
"1,1,0,2,1,2583,2358,120,360,1,2,1"
"1,1,1,1,1,5250,688,160,360,1,3,1"
"1,1,0,1,1,2483,2466,90,180,0,3,1"
"2,2,0,1,1,2764,1459,110,360,1,2,1"
"1,1,0,1,1,2130,6666,70,180,1,1,0"
"1,2,0,2,1,2927,2405,111,360,1,1,1"
"1,1,0,1,1,3250,0,170,360,1,3,0"
"1,1,0,1,1,2799,2253,122,360,1,1,1"
"1,2,0,1,2,10416,0,187,360,0,2,0"
"2,2,0,1,1,7200,0,120,360,1,3,1"
"2,1,0,2,1,1928,1644,100,360,1,1,1"
"1,2,0,1,2,6400,0,200,360,1,3,1"
"2,1,0,1,1,3667,1459,144,360,1,1,1"
"1,1,1,1,1,9538,0,187,360,1,2,1"
"2,2,0,1,2,3463,0,122,360,1,2,1"
"1,2,0,1,1,4750,0,94,360,1,1,1"
"1,1,0,1,1,3497,1964,116,360,1,3,1"
"1,1,3,1,1,3466,3428,150,360,1,3,1"
"1,1,0,1,1,20833,6667,480,360,1,2,1"
"1,2,0,1,1,4191,0,120,360,1,3,1"
"1,1,0,2,1,3074,1800,123,360,0,1,0"
"1,1,0,1,2,5503,4490,70,360,1,1,1"
"1,2,3,1,2,9357,0,292,360,1,1,1"
"1,1,2,1,2,7948,7166,480,360,1,3,1"
"1,1,1,1,1,10750,0,312,360,1,2,1"
"2,2,0,1,1,2500,0,67,360,1,2,1"
"1,2,0,1,1,2237,0,63,480,0,1,0"
"1,1,1,1,2,9833,1833,182,180,1,2,1"
"1,1,1,1,1,3089,1280,121,360,0,1,0"
"1,1,2,2,1,7667,0,185,360,1,3,1"
"1,2,0,1,1,3858,0,76,360,1,1,1"
"1,2,0,1,1,9166,0,244,360,1,2,0"
"1,1,1,1,1,3875,0,67,360,1,2,0"
"1,1,0,1,1,7333,8333,175,300,1,3,1"
"2,2,0,1,1,3159,0,100,360,1,1,1"
"1,1,3,1,1,4281,0,100,360,1,2,1"
"1,1,0,1,1,4652,3583,128,360,1,1,1"
"2,2,0,1,2,7441,0,194,360,1,3,0"
"1,1,3,1,2,5266,1774,187,360,1,1,1"
"1,2,0,1,1,1926,1851,50,360,1,1,1"
"1,1,2,1,2,6000,0,205,240,1,1,0"
"2,2,0,1,1,10408,0,259,360,1,2,1"
"1,1,2,2,1,2889,0,45,180,0,2,0"
"1,1,1,1,1,7250,1667,110,360,0,2,0"
"1,1,0,1,1,4625,2857,111,12,1,2,1"
"1,2,0,2,1,3975,2531,55,360,1,3,1"
"1,1,2,1,1,2583,2330,125,360,1,3,1"
"1,2,0,1,2,6822,0,141,360,1,3,1"
"1,1,3,1,1,2666,2083,95,360,1,3,1"
"1,2,0,1,1,4680,2087,128,360,1,1,0"
"1,1,2,1,1,4006,1526,168,360,1,2,1"
"1,2,3,1,1,9167,0,185,360,1,3,1"
"1,1,0,1,1,1828,1330,100,360,0,2,0"
"1,1,2,2,1,4200,1430,129,360,1,3,0"
"1,1,1,2,1,2661,7101,279,180,1,1,1"
"1,1,1,1,1,1625,1803,96,360,1,2,1"
"2,2,0,2,1,1963,0,53,360,1,1,1"
"1,1,2,2,1,3357,2859,144,360,1,2,1"
"2,1,0,1,1,2929,2333,139,360,1,1,1"
"1,2,0,2,1,6216,0,133,360,1,3,0"
"1,1,0,1,1,4817,923,120,180,1,2,1"
"1,2,0,2,2,5800,0,132,360,1,1,1"
"2,2,1,1,1,3481,0,155,36,1,1,0"
"1,1,0,1,1,2297,1522,104,360,1,2,1"
"2,1,1,1,1,4666,0,135,360,1,2,1"
"1,2,0,1,1,6277,0,118,360,0,3,0"
"1,1,2,1,1,4708,1387,150,360,1,1,1"
"1,1,0,1,1,1025,5500,216,360,1,3,1"
"2,2,1,1,1,3652,0,95,360,1,1,1"
"1,2,0,1,1,4166,7210,184,360,1,2,1"
"1,1,0,1,1,3539,1376,55,360,1,3,0"
"2,2,0,1,1,2400,1863,104,360,0,2,0"
"2,1,0,1,1,3416,2816,113,360,1,1,1"
"2,2,0,2,1,4350,0,154,360,1,3,1"
"1,2,0,1,1,5124,0,124,360,0,3,0"
"2,1,2,1,1,14866,0,70,360,1,2,1"
"1,2,2,1,1,3547,0,80,360,0,3,0"
"2,1,0,2,1,3017,663,102,360,1,1,1"
"1,1,1,1,1,1538,1425,30,360,1,2,1"
"1,2,0,1,1,3750,0,100,360,1,2,1"
"1,1,0,1,1,6333,4583,259,360,1,1,1"
"1,1,1,1,2,8666,4983,376,360,0,3,0"
"2,2,0,1,1,4547,0,115,360,1,1,1"
"1,1,2,1,1,2957,0,81,360,1,1,1"
"2,1,2,1,1,2031,1632,113,480,1,1,1"
"2,1,0,1,1,2484,2302,137,360,1,1,1"
"1,1,0,1,1,2698,2034,122,360,1,1,1"
"1,1,1,1,1,3315,0,96,360,1,1,1"
"1,1,0,1,1,3593,4266,132,180,0,3,0"
"1,1,0,1,1,1977,997,50,360,1,1,1"
"1,1,2,1,1,5185,0,155,360,1,1,1"
"1,1,3,1,1,15000,0,300,360,1,3,1"
"2,1,0,2,1,4100,0,124,360,1,3,1"
"2,2,0,1,1,5417,0,143,480,0,2,0"
"2,2,0,2,2,17263,0,225,360,1,1,1"
"2,2,0,1,1,2137,8980,137,360,0,1,1"
"1,1,1,1,1,33846,0,260,360,1,1,0"
"1,1,3,2,1,3992,0,128,180,1,2,0"
"2,2,0,1,1,3166,2985,132,360,1,3,1"
"1,1,2,1,1,9703,0,112,360,1,2,1"
"1,2,0,1,1,12876,0,405,360,1,1,1"
"1,1,0,1,1,5829,0,138,360,1,3,1"
"1,1,0,1,1,3597,2157,119,360,0,3,0"
"1,1,0,1,1,14880,0,96,360,1,1,1"
"2,2,0,1,1,2138,0,99,360,0,1,0"
"1,2,0,1,1,2500,20000,103,360,1,1,1"
"2,2,0,1,1,3692,0,93,360,1,3,1"
"1,2,0,2,1,3358,0,80,36,1,1,0"
"2,1,1,1,2,19484,0,600,360,1,1,1"
"1,1,0,1,1,7578,1010,175,360,1,1,1"
"1,1,1,2,1,4554,1229,158,360,1,2,1"
"1,1,2,1,1,4616,0,134,360,1,2,0"
"2,1,2,1,1,4283,2383,127,360,1,1,1"
"1,1,0,1,1,6080,2569,182,360,1,3,0"
"1,1,1,1,1,5468,1032,26,360,1,1,1"
"2,2,0,2,1,2213,0,66,360,1,3,1"
"2,2,1,2,1,5191,0,132,360,1,1,1"
"1,1,3,1,2,10139,0,260,360,1,1,1"
"1,1,3,1,1,81000,0,360,360,0,3,0"
"2,2,0,1,1,645,3683,113,480,1,3,1"
"2,2,1,1,1,2600,0,160,360,1,2,0"
"1,2,0,2,1,2346,1600,132,360,1,1,1"
"1,1,0,1,2,16120,0,260,360,1,2,1"
"1,1,0,1,1,2383,3334,172,360,1,1,1"
"1,1,3,1,1,4333,1811,160,360,0,2,1"
"1,1,2,1,1,2873,1872,132,360,0,1,0"
"1,2,0,2,1,2717,0,60,180,1,2,1"
"1,1,0,2,1,3572,4114,152,360,0,3,0"
"1,2,0,2,1,2333,1451,102,480,0,2,0"
"1,1,2,1,1,7583,0,187,360,1,2,1"
"1,1,1,1,1,3333,3250,158,360,1,2,1"
"1,2,0,1,1,6000,0,140,360,1,3,1"
"1,2,1,1,1,3062,1987,111,180,0,2,0"
"1,1,0,1,1,2473,1843,159,360,1,3,0"
"1,1,0,1,2,2577,3750,152,360,1,3,1"
"1,2,0,1,1,3583,0,96,360,1,2,0"
"2,2,0,1,1,8333,0,280,360,1,1,1"
"2,2,0,1,1,3762,1666,135,360,1,3,1"
"1,1,0,1,1,7901,1833,180,360,1,3,1"
"1,1,0,1,1,9323,0,75,180,1,2,1"
"1,1,0,1,1,2058,2134,88,360,1,2,1"
"2,1,0,1,1,4583,0,84,360,1,3,0"
"2,2,1,2,2,3867,0,62,360,1,1,0"
"2,2,0,2,1,1907,2365,120,360,1,2,1"
"1,1,2,2,2,6383,1000,187,360,1,3,0"
"1,1,0,1,1,14683,2100,304,360,1,3,0"
"1,2,0,2,1,3189,2598,120,360,1,3,1"
"1,1,1,1,1,14583,0,185,180,1,3,1"
"1,1,0,1,1,5667,2667,180,360,1,3,1"
"1,2,0,2,1,2699,2785,96,360,1,1,1"
"1,1,3,1,1,8750,4996,130,360,1,3,1"
"1,1,2,1,1,4566,0,100,360,1,2,0"
"1,1,0,1,1,6250,0,128,360,1,1,1"
"1,2,0,1,1,1836,33837,90,360,1,2,0"
"1,1,3,1,1,4691,0,100,360,1,1,1"
"1,1,2,2,1,3083,2168,126,360,1,2,1"
"1,2,0,1,1,3865,1640,128,360,1,3,1"
"2,1,1,1,1,12000,0,496,360,1,1,1"
"1,1,1,1,2,3466,1210,130,360,1,3,1"
"1,2,0,1,1,3158,3053,89,360,1,3,1"
"1,1,0,2,1,4467,0,120,360,1,3,1"
"1,1,0,1,1,3941,2336,134,360,1,1,1"
"1,2,0,2,1,7333,0,120,360,1,3,0"
"1,2,0,1,1,4683,1915,185,360,1,1,0"
"1,1,0,1,1,10833,0,234,360,1,1,1"
"1,1,0,1,2,3459,0,25,120,1,1,1"
"1,2,0,1,1,3660,5064,187,360,1,1,1"
"1,1,1,1,1,6065,2004,250,360,1,1,1"
"1,1,0,2,2,4695,0,96,360,1,2,1"
"1,1,2,1,1,8000,0,200,360,1,1,1"
"1,1,0,1,1,5726,4595,258,360,1,1,0"
"2,2,0,1,1,1811,1666,54,360,1,2,1"
"1,2,0,1,1,2366,2531,136,360,1,1,1"
"1,2,0,1,1,2965,5701,155,60,1,2,1"
"1,1,1,1,2,2178,0,66,300,0,3,0"
"1,2,0,1,1,4917,0,130,360,0,3,1"
"1,1,0,1,1,4583,5625,255,360,1,1,1"
"1,1,2,1,1,3073,8106,200,360,1,2,1"
"1,1,0,1,1,2275,2067,128,360,1,2,1"
"1,2,0,2,1,1442,0,35,360,1,2,0"
"1,1,0,2,1,1820,1769,95,360,1,3,1"
"1,2,0,1,2,6950,0,175,180,1,1,1"
"1,1,0,1,1,5746,0,255,360,1,2,0"
"1,1,2,1,1,2947,1603,128,360,1,2,0"
"1,1,2,1,1,3283,2035,148,360,1,2,1"
"1,1,2,1,1,4009,1717,116,360,1,1,1"
"2,2,0,1,1,2667,1625,84,360,1,2,1"
"1,2,0,1,1,6782,0,128,360,1,2,0"
"2,2,0,1,1,3086,0,120,360,1,1,1"
"1,1,2,1,1,5819,5000,120,360,1,3,1"
"1,2,2,1,1,3588,0,110,360,0,3,0"
"1,2,0,1,1,8750,4167,308,360,1,3,0"
"1,2,1,2,1,2679,1302,94,360,1,1,1"
"1,1,1,1,1,3750,0,116,360,1,1,1"
"1,1,0,1,2,2083,4083,160,360,1,1,1"
"1,1,0,2,1,2917,536,66,360,1,3,0"
"1,2,0,1,1,1800,1213,47,360,1,2,1"
"1,1,3,1,1,3400,2500,123,360,0,3,0"
"2,2,0,2,2,18165,0,125,360,1,2,1"
"2,2,0,1,1,3244,0,80,360,1,2,1"
"1,1,0,1,1,2583,2115,120,360,1,2,1"
"1,1,2,1,1,2301,985,78,180,1,2,1"
"1,1,0,2,1,3000,1666,100,480,0,2,0"
"1,1,0,1,1,3033,1459,95,360,1,2,1"
"1,2,0,1,2,16250,0,192,360,0,2,0"
"1,1,0,1,1,3727,1775,131,360,1,1,1"
"1,2,0,1,1,6000,0,141,360,1,2,1"
"1,2,0,2,1,6045,0,115,360,0,3,0"
"1,1,0,1,1,3087,2210,136,360,0,1,0"
"1,1,0,1,1,2768,1950,155,360,1,3,1"
"2,2,1,1,2,8624,0,150,360,1,1,1"
"1,1,2,2,1,4288,3263,133,180,1,2,1"
"1,1,0,2,2,4735,0,138,360,1,2,0"
"1,1,2,1,1,3340,1710,150,360,0,3,0"
"2,1,0,1,1,4180,2306,182,360,1,1,1"
"1,1,1,1,1,4283,3000,172,84,1,3,0"
"1,1,3,2,2,5703,0,130,360,1,3,1"
"1,1,3,1,1,5167,3167,200,360,1,1,1"
"1,1,3,1,1,51763,0,700,300,1,2,1"
"1,1,0,2,1,4188,0,115,180,1,1,1"
"1,1,2,1,1,3153,1560,134,360,1,2,1"
"1,1,3,2,1,3850,983,100,360,1,1,1"
"1,1,3,1,1,3029,0,99,360,1,2,1"
"1,1,0,2,1,2167,2400,115,360,1,2,1"
"1,1,2,1,1,4865,5624,208,360,1,1,1"
"1,1,0,1,1,5821,0,144,360,1,2,1"
"1,2,1,1,2,4692,0,106,360,1,3,0"
"1,1,1,2,1,2600,2500,90,360,1,1,1"
"1,2,0,1,1,4895,0,102,360,1,1,1"
"1,1,2,2,1,4226,1040,110,360,1,2,1"
"1,1,0,1,1,6133,3906,324,360,1,2,1"
"1,1,1,1,1,2491,2054,104,360,1,1,1"
"1,2,0,1,1,2435,0,75,360,1,2,0"
"1,2,0,1,1,3069,0,71,480,1,2,0"
"2,2,0,1,1,4124,0,115,360,1,1,1"
"1,1,0,1,1,1025,2773,112,360,1,3,1"
"1,1,3,1,1,9504,0,275,360,1,3,1"
"1,1,1,1,2,2895,0,95,360,1,1,1"
"1,2,0,1,1,14999,0,242,360,0,1,0"
"1,1,0,2,2,2609,3449,165,180,0,3,0"
"1,1,1,2,1,2653,1500,113,180,0,3,0"
"1,1,1,1,2,10513,3850,160,180,0,2,0"
"1,2,0,1,1,2987,0,88,360,0,1,0"
"1,1,2,2,1,2192,1742,45,360,1,1,1"
"2,2,0,1,1,4166,0,116,360,0,1,0"
"1,1,2,1,1,1299,1086,17,120,1,2,1"
"1,1,1,1,1,6000,0,160,360,1,3,1"
"1,2,0,1,1,3600,0,80,360,1,2,0"
"1,2,0,2,1,3691,0,110,360,1,3,1"
"1,1,2,1,1,5391,0,130,360,1,2,1"
"1,1,0,1,1,2383,2138,58,360,1,3,1"
"1,1,0,1,1,150,1800,135,360,1,3,0"
"2,2,0,1,1,4230,0,112,360,1,1,0"
"1,1,2,1,2,2500,4600,176,360,1,3,1"
"1,1,3,1,1,4416,1250,110,360,1,2,1"
"2,2,2,1,1,3427,0,138,360,1,2,0"
"1,1,3,1,1,7740,0,128,180,1,2,1"
"1,1,2,1,1,3859,0,96,360,1,1,1"
"1,1,1,1,1,8072,240,253,360,1,2,1"
"2,2,1,1,1,2876,1560,90,360,1,2,1"
"1,2,2,1,1,4923,0,166,360,0,1,1"
"1,1,0,1,1,7933,0,275,360,1,2,0"
"1,2,0,2,1,2755,0,65,300,1,3,0"
"1,1,2,1,1,6700,1750,230,300,1,1,1"
"1,1,1,1,1,3052,1030,100,360,1,2,1"
"1,1,0,1,1,5488,0,125,360,1,3,1"
"1,1,1,1,1,4583,1508,128,360,1,3,0"
"1,1,0,1,1,5116,1451,165,360,0,2,0"
"2,2,0,1,1,3846,0,111,360,1,1,1"
"2,2,0,2,1,4408,0,120,360,1,1,1"
"1,2,3,1,1,12500,3000,320,360,1,3,0"
"1,1,0,1,2,2479,3013,188,360,1,2,1"
"1,1,2,1,1,5935,0,133,360,1,1,1"
"1,2,0,1,2,7085,0,84,360,1,1,1"
"1,2,0,1,1,2500,0,96,480,1,1,0"
"1,1,2,1,1,6250,5654,188,180,1,1,1"
"2,2,0,1,1,4160,0,71,360,1,1,1"
"1,1,2,1,1,8799,0,258,360,0,2,0"
"1,1,0,1,1,2499,2458,160,360,1,1,1"
"1,1,1,2,1,2510,1983,140,180,1,2,0"
"1,2,0,1,1,1853,2840,114,360,1,3,0"
"1,1,1,2,1,3399,1640,111,180,1,2,1"
"1,1,0,2,1,3010,3136,128,360,0,2,0"
"1,1,0,1,1,2620,2223,150,360,1,1,1"
"2,1,0,1,1,4583,0,112,360,1,3,0"
"1,1,0,1,1,3232,1950,108,360,1,3,1"
"1,1,2,1,1,8333,0,246,360,1,1,1"
"1,1,2,1,1,5780,0,192,360,1,2,1"
"1,1,0,2,1,3814,1483,124,300,1,1,1"
"1,1,2,1,2,6250,1300,108,360,1,3,1"
"1,2,0,1,1,3333,0,70,360,1,2,1"
"1,1,0,1,1,5923,2054,211,360,1,3,1"
"1,1,0,1,1,9328,0,188,180,1,3,1"
"1,1,2,1,2,16525,1014,150,360,1,3,1"
"1,2,0,2,1,3598,1287,100,360,1,3,0"
"1,1,1,1,1,8080,2250,180,360,1,2,1"
"1,2,2,1,1,5532,4648,162,360,1,3,1"
"1,1,2,2,1,3675,242,108,360,1,1,1"
"1,2,0,2,2,2583,2167,104,360,1,3,1"
"1,1,1,1,1,5955,5625,315,360,1,2,1"
"1,1,2,1,2,5746,0,144,84,1,3,1"
"1,1,0,1,1,8334,0,160,360,1,1,0"
"1,1,0,2,1,1863,1041,98,360,1,1,1"
"1,1,0,1,1,3993,3274,207,360,1,1,1"
"1,2,0,1,1,12000,0,164,360,1,1,0"
"1,2,1,1,1,3667,0,113,180,1,2,1"
"1,1,0,2,1,2253,2033,110,360,1,3,1"
"1,1,1,2,1,5333,1131,186,360,1,2,1"
"1,1,3,2,1,3173,0,74,360,1,1,1"
"1,2,0,1,1,20233,0,480,360,1,3,0"
"1,2,0,1,2,20166,0,650,480,1,2,1"
"1,1,0,1,1,1759,3541,131,360,1,1,1"
"1,1,2,1,2,9323,7873,380,300,1,3,1"
"1,1,0,1,1,2500,2118,104,360,1,1,1"
"1,2,2,1,1,4354,0,136,360,1,3,1"
"1,2,1,1,1,4384,1793,117,360,1,2,1"
"1,1,0,1,1,3173,3021,137,360,1,2,1"
"1,1,3,2,1,2947,1664,70,180,0,2,0"
"2,2,0,1,1,4166,0,44,360,1,1,1"
"1,1,0,2,1,7660,0,104,360,0,2,0"
"1,1,2,2,2,1875,1875,97,360,1,1,1"
"1,1,2,1,1,11417,1126,225,360,1,2,1"
"2,2,0,1,1,3237,0,30,360,1,2,1"
"2,1,0,1,1,10047,0,128,240,1,1,1"
"1,1,0,1,1,13650,0,128,360,1,2,1"
